timeProcessed,filename,score,detect
16-06-2024_22:09:02,./image/16-06-2024_22:09:02.jpg,0,0
16-06-2024_22:09:07,./image/16-06-2024_22:09:06.jpg,0,0
16-06-2024_22:09:08,./image/16-06-2024_22:09:08.jpg,0,0
16-06-2024_22:09:13,./image/16-06-2024_22:09:12.jpg,0,0
16-06-2024_22:09:15,./image/16-06-2024_22:09:14.jpg,0,0
16-06-2024_22:09:19,./image/16-06-2024_22:09:18.jpg,0.5578880906105042,1
16-06-2024_22:09:21,./image/16-06-2024_22:09:20.jpg,0,0
16-06-2024_22:09:27,./image/16-06-2024_22:09:26.jpg,0,0
16-06-2024_22:09:31,./image/16-06-2024_22:09:31.jpg,0,0
16-06-2024_22:09:33,./image/16-06-2024_22:09:32.jpg,0,0
16-06-2024_22:09:37,./image/16-06-2024_22:09:37.jpg,0.8716277480125427,1
16-06-2024_22:09:39,./image/16-06-2024_22:09:38.jpg,0.47598153352737427,1
16-06-2024_22:09:43,./image/16-06-2024_22:09:43.jpg,0,0
16-06-2024_22:09:45,./image/16-06-2024_22:09:44.jpg,0,0
16-06-2024_22:09:50,./image/16-06-2024_22:09:49.jpg,0,0
16-06-2024_22:09:51,./image/16-06-2024_22:09:50.jpg,0,0
16-06-2024_22:09:56,./image/16-06-2024_22:09:55.jpg,0,0
16-06-2024_22:09:57,./image/16-06-2024_22:09:56.jpg,0.872713029384613,1
16-06-2024_22:10:02,./image/16-06-2024_22:10:01.jpg,0,0
16-06-2024_22:10:03,./image/16-06-2024_22:10:02.jpg,0.8649360537528992,1
16-06-2024_22:10:08,./image/16-06-2024_22:10:07.jpg,0,0
16-06-2024_22:10:09,./image/16-06-2024_22:10:09.jpg,0,0
16-06-2024_22:10:15,./image/16-06-2024_22:10:15.jpg,0,0
16-06-2024_22:10:20,./image/16-06-2024_22:10:19.jpg,0,0
16-06-2024_22:10:21,./image/16-06-2024_22:10:21.jpg,0,0
16-06-2024_22:10:26,./image/16-06-2024_22:10:25.jpg,0,0
16-06-2024_22:10:28,./image/16-06-2024_22:10:27.jpg,0.8110055923461914,1
16-06-2024_22:10:32,./image/16-06-2024_22:10:31.jpg,0,0
16-06-2024_22:10:34,./image/16-06-2024_22:10:33.jpg,0,0
16-06-2024_22:10:38,./image/16-06-2024_22:10:37.jpg,0,0
16-06-2024_22:10:40,./image/16-06-2024_22:10:39.jpg,0,0
16-06-2024_22:10:44,./image/16-06-2024_22:10:43.jpg,0,0
16-06-2024_22:10:46,./image/16-06-2024_22:10:45.jpg,0.6876588612794876,2
16-06-2024_22:10:50,./image/16-06-2024_22:10:50.jpg,0,0
16-06-2024_22:10:52,./image/16-06-2024_22:10:51.jpg,0,0
16-06-2024_22:10:56,./image/16-06-2024_22:10:56.jpg,0,0
16-06-2024_22:10:58,./image/16-06-2024_22:10:57.jpg,0,0
16-06-2024_22:11:02,./image/16-06-2024_22:11:02.jpg,0.4680522382259369,1
16-06-2024_22:11:04,./image/16-06-2024_22:11:03.jpg,0.6917522996664047,2
16-06-2024_22:11:09,./image/16-06-2024_22:11:08.jpg,0,0
16-06-2024_22:11:10,./image/16-06-2024_22:11:09.jpg,0.9040245413780212,1
16-06-2024_22:11:15,./image/16-06-2024_22:11:14.jpg,0.755368709564209,1
16-06-2024_22:11:16,./image/16-06-2024_22:11:15.jpg,0.6077269911766052,1
16-06-2024_22:11:21,./image/16-06-2024_22:11:20.jpg,0,0
16-06-2024_22:11:22,./image/16-06-2024_22:11:22.jpg,0,0
16-06-2024_22:11:27,./image/16-06-2024_22:11:26.jpg,0,0
16-06-2024_22:11:28,./image/16-06-2024_22:11:28.jpg,0,0
16-06-2024_22:11:33,./image/16-06-2024_22:11:32.jpg,0,0
16-06-2024_22:11:34,./image/16-06-2024_22:11:34.jpg,0,0
16-06-2024_22:11:39,./image/16-06-2024_22:11:38.jpg,0,0
16-06-2024_22:11:41,./image/16-06-2024_22:11:40.jpg,0,0
16-06-2024_22:11:45,./image/16-06-2024_22:11:44.jpg,0.5061573386192322,1
16-06-2024_22:11:47,./image/16-06-2024_22:11:46.jpg,0.7279960811138153,2
16-06-2024_22:11:51,./image/16-06-2024_22:11:50.jpg,0,0
16-06-2024_22:11:53,./image/16-06-2024_22:11:52.jpg,0,0
16-06-2024_22:11:57,./image/16-06-2024_22:11:56.jpg,0,0
16-06-2024_22:11:59,./image/16-06-2024_22:11:58.jpg,0,0
16-06-2024_22:12:03,./image/16-06-2024_22:12:03.jpg,0,0
16-06-2024_22:12:05,./image/16-06-2024_22:12:04.jpg,0.7017091512680054,2
16-06-2024_22:12:09,./image/16-06-2024_22:12:09.jpg,0,0
16-06-2024_22:12:11,./image/16-06-2024_22:12:10.jpg,0.7767162919044495,2
16-06-2024_22:12:15,./image/16-06-2024_22:12:15.jpg,0,0
16-06-2024_22:12:17,./image/16-06-2024_22:12:16.jpg,0.791667640209198,2
16-06-2024_22:12:22,./image/16-06-2024_22:12:21.jpg,0,0
16-06-2024_22:12:23,./image/16-06-2024_22:12:22.jpg,0,0
16-06-2024_22:12:28,./image/16-06-2024_22:12:27.jpg,0,0
16-06-2024_22:12:29,./image/16-06-2024_22:12:28.jpg,0,0
16-06-2024_22:12:34,./image/16-06-2024_22:12:33.jpg,0.636244386434555,2
16-06-2024_22:12:35,./image/16-06-2024_22:12:35.jpg,0,0
16-06-2024_22:12:40,./image/16-06-2024_22:12:39.jpg,0,0
16-06-2024_22:12:41,./image/16-06-2024_22:12:41.jpg,0.7607081234455109,2
